guidao_station_name,guidao_line_name,guidao_jingdu_str,guidao_weidu_str,gongjiao_station_name,gongjiao_line_name,gongjiao_jingdu_str,gongjiao_weidu_str,range_str,distance,guidao_line_begin,guidao_line_end,gongjiao_line_begin,gongjiao_line_end,guidao_station_orderid,gongjiao_station_orderid
知春里,地铁10号线内环,116.328709,39.976334,知春里东站,323路,116.32872399942464,39.9762370002205,"[1, 49]",10.8613,巴沟,巴沟,知春里东站,富丰桥西,3,0
知春里,地铁10号线内环,116.328709,39.976334,知春里东站,323路,116.32872399942464,39.9762370002205,"[1, 49]",10.8613,巴沟,巴沟,知春里东站,富丰桥西,3,0
安贞门,地铁10号线内环,116.405954,39.977005,地铁安贞门站,515路,116.40539100002184,39.97692699960841,"[1, 49]",48.7503,巴沟,巴沟,北土城公交场站,东大桥公交场站,9,2
安贞门,地铁10号线内环,116.405954,39.977005,地铁安贞门站,515路,116.40539100002184,39.97692699960841,"[1, 49]",48.7503,巴沟,巴沟,北土城公交场站,东大桥公交场站,9,2
安贞门,地铁10号线内环,116.405954,39.977005,地铁安贞门站,653路,116.40547299981309,39.976927000366565,"[1, 49]",41.8931,巴沟,巴沟,海淀五路居,北苑家园,9,27
安贞门,地铁10号线内环,116.405954,39.977005,地铁安贞门站,653路,116.40547299981309,39.976927000366565,"[1, 49]",41.8931,巴沟,巴沟,海淀五路居,北苑家园,9,27
安贞门,地铁10号线内环,116.405954,39.977005,地铁安贞门站,夜9路,116.40559400008266,39.97692900031694,"[1, 49]",31.8179,巴沟,巴沟,巴沟村,慧忠里,9,15
安贞门,地铁10号线内环,116.405954,39.977005,地铁安贞门站,夜9路,116.40559400008266,39.97692900031694,"[1, 49]",31.8179,巴沟,巴沟,巴沟村,慧忠里,9,15
三元桥,地铁10号线内环,116.457152,39.960747,三元桥,359路,116.45687900054465,39.96095300037882,"[1, 49]",32.6507,巴沟,巴沟,东直门外,首都机场路北口,13,2
三元桥,地铁10号线内环,116.457152,39.960747,三元桥,359路,116.45687900054465,39.96095300037882,"[1, 49]",32.6507,巴沟,巴沟,东直门外,首都机场路北口,13,2
